,TRADINGDATE,IFTRADINGDAY,SECUMARKET,IFWEEKEND,IFMONTHEND,IFQUARTEREND,IFYEAREND,XGRQ,JSID
0,2000-01-04 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073667
1,2000-01-05 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073670
2,2000-01-06 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073674
3,2000-01-07 00:00:00,1,83,1,2,2,2,2007-10-26 21:15:37,246748073678
4,2000-01-10 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073690
5,2000-01-11 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073694
6,2000-01-12 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073698
7,2000-01-13 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073701
8,2000-01-14 00:00:00,1,83,1,2,2,2,2007-10-26 21:15:37,246748073705
9,2000-01-17 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073717
10,2000-01-18 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073721
11,2000-01-19 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073725
12,2000-01-20 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073729
13,2000-01-21 00:00:00,1,83,1,2,2,2,2007-10-26 21:15:37,246748073733
14,2000-01-24 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073745
15,2000-01-25 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073749
16,2000-01-26 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073753
17,2000-01-27 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:37,246748073757
18,2000-01-28 00:00:00,1,83,1,1,2,2,2007-10-26 21:15:37,246748073761
19,2000-02-14 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073795
20,2000-02-15 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073797
21,2000-02-16 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073799
22,2000-02-17 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073801
23,2000-02-18 00:00:00,1,83,1,2,2,2,2007-10-26 21:15:38,246748073803
24,2000-02-21 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073809
25,2000-02-22 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073811
26,2000-02-23 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073813
27,2000-02-24 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073815
28,2000-02-25 00:00:00,1,83,1,2,2,2,2007-10-26 21:15:38,246748073817
29,2000-02-28 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073823
30,2000-02-29 00:00:00,1,83,2,1,2,2,2007-10-26 21:15:38,246748073825
31,2000-03-01 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073827
32,2000-03-02 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073831
33,2000-03-03 00:00:00,1,83,1,2,2,2,2007-10-26 21:15:38,246748073835
34,2000-03-06 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073846
35,2000-03-07 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073850
36,2000-03-08 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073854
37,2000-03-09 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073858
38,2000-03-10 00:00:00,1,83,1,2,2,2,2007-10-26 21:15:38,246748073862
39,2000-03-13 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073873
40,2000-03-14 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073877
41,2000-03-15 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073881
42,2000-03-16 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073885
43,2000-03-17 00:00:00,1,83,1,2,2,2,2007-10-26 21:15:38,246748073889
44,2000-03-20 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073901
45,2000-03-21 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073905
46,2000-03-22 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073909
47,2000-03-23 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073912
48,2000-03-24 00:00:00,1,83,1,2,2,2,2007-10-26 21:15:38,246748073916
49,2000-03-27 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073929
50,2000-03-28 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073933
51,2000-03-29 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073937
52,2000-03-30 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073941
53,2000-03-31 00:00:00,1,83,1,1,1,2,2007-10-26 21:15:38,246748073945
54,2000-04-03 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073956
55,2000-04-04 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073960
56,2000-04-05 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073964
57,2000-04-06 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073968
58,2000-04-07 00:00:00,1,83,1,2,2,2,2007-10-26 21:15:38,246748073972
59,2000-04-10 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073983
60,2000-04-11 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073987
61,2000-04-12 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073991
62,2000-04-13 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748073995
63,2000-04-14 00:00:00,1,83,1,2,2,2,2007-10-26 21:15:38,246748073999
64,2000-04-17 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748074011
65,2000-04-18 00:00:00,1,83,2,2,2,2,2007-10-26 21:15:38,246748074015
